channel,mean,max,std,sum,positive_ratio
1,0.55999786,0.9519497,0.43209878,1756.1532,0.8309948979591837
2,-0.004614103,0.10072433,0.018881593,-14.469828,0.5577168367346939
3,-0.09027509,1.0394007,0.24541053,-283.10266,0.20471938775510204
4,-0.6865188,-0.27474248,0.19355845,-2152.9229,0.0
5,-0.052719295,0.2877468,0.04228494,-165.32771,0.025191326530612245
6,-0.058579855,0.32122502,0.0719486,-183.70642,0.12085459183673469
7,-0.045377392,0.169188,0.030222319,-142.3035,0.11224489795918367
8,0.92103016,1.4112107,0.19885632,2888.3506,1.0
9,0.28767416,0.6974392,0.1800478,902.1461,0.9205994897959183
10,0.35146627,0.88325405,0.14598389,1102.1982,0.9636479591836735
11,0.2051639,1.1691674,0.24843358,643.394,0.8032525510204082
12,-0.53190786,-0.28037208,0.10889957,-1668.063,0.0
13,-3.591085,-3.4402714,0.07614516,-11261.643,0.0
14,-0.0040137167,0.28297886,0.031379018,-12.587015,0.1527423469387755
15,0.12385714,0.44398332,0.050669376,388.416,0.9805484693877551
16,-0.051948257,0.20999408,0.039999798,-162.90973,0.04846938775510204
17,-0.0891275,0.6332934,0.1875088,-279.50385,0.08003826530612244
18,0.029299816,0.54115397,0.054799438,91.884224,0.8727678571428571
19,-0.000517198,0.9654066,0.21132609,-1.621933,0.3093112244897959
20,3.204933,3.38641,0.051849086,10050.67,1.0
21,0.10432889,0.5487018,0.043451626,327.1754,0.9866071428571429
22,-0.0033344459,0.47511727,0.04255078,-10.456822,0.2927295918367347
23,-2.812896,-2.7423923,0.067294255,-8821.242,0.0
24,-0.37839633,0.67089707,0.31609538,-1186.6509,0.17633928571428573
25,-0.081722505,0.89069754,0.13506472,-256.28177,0.07876275510204081
26,-0.04081399,0.31140378,0.044114973,-127.992676,0.05803571428571429
27,-0.027685931,0.41240406,0.049140893,-86.82308,0.09661989795918367
28,0.100623205,0.5888366,0.24879208,315.55438,0.6922831632653061
29,-0.006386811,0.07454376,0.032385767,-20.02904,0.5255102040816326
30,-0.058719713,0.26002353,0.036291447,-184.14502,0.02646683673469388
31,-0.06603911,0.29345042,0.042473577,-207.09863,0.01881377551020408
32,0.014812676,0.30331168,0.07856407,46.452553,0.7305484693877551
33,0.004698402,0.24036866,0.02920938,14.734188,0.8144132653061225
34,0.021286497,0.5197891,0.06931786,66.754456,0.8775510204081632
35,-3.9354093,-3.85138,0.09529318,-12341.443,0.0
36,-0.024485301,0.09479108,0.02217226,-76.785904,0.1533801020408163
37,-0.14258853,0.2974198,0.06964626,-447.15762,0.03093112244897959
38,1.4262356,2.01057,0.080621935,4472.675,1.0
39,0.079086706,0.6514843,0.072909616,248.0159,0.9199617346938775
40,0.13926288,0.8837936,0.16067535,436.7284,0.9110331632653061
41,0.12259508,0.71433556,0.094281144,384.45816,0.9722576530612245
42,2.735427,3.001402,0.03400877,8578.299,1.0
43,-0.080057815,0.4029216,0.20657274,-251.06131,0.5548469387755102
44,-0.09830132,0.40429002,0.04575456,-308.27295,0.023596938775510203
45,-0.021542866,0.3849678,0.061905842,-67.558426,0.1444515306122449
46,0.054455746,0.55390316,0.06335247,170.77322,0.9266581632653061
47,-4.466249,-4.304608,0.05214044,-14006.156,0.0
48,0.06325669,0.30559817,0.05263311,198.37299,0.8415178571428571
49,-0.025832353,0.13706742,0.012715623,-81.01026,0.028380102040816327
50,0.051076703,0.40177292,0.039224576,160.17654,0.9559948979591837
51,0.13463493,0.8652848,0.15981416,422.21512,0.9129464285714286
52,0.0014952599,0.9403012,0.1252985,4.689135,0.41996173469387754
53,0.058837872,0.82493854,0.1337722,184.51556,0.7853954081632653
54,-0.076867335,0.18294424,0.032869715,-241.05597,0.016262755102040817
55,0.06189073,0.3308937,0.033945415,194.08932,0.9639668367346939
56,-0.37168652,0.49318758,0.10667288,-1165.6089,0.007653061224489796
57,1.5082508,1.8711336,0.050469767,4729.8745,1.0
58,-0.02395569,0.49943122,0.06972834,-75.125046,0.13903061224489796
59,-0.358234,0.7427735,0.21856253,-1123.4218,0.04623724489795918
60,-0.0077431016,0.38046855,0.061781175,-24.282366,0.6243622448979592
61,-0.14900361,0.32466316,0.1200031,-467.27533,0.017538265306122448
62,0.5231227,0.9005803,0.41290605,1640.513,0.8341836734693877
63,-0.381152,1.0174198,0.5180567,-1195.2927,0.2841198979591837
64,-0.2137413,0.3209837,0.06659663,-670.2927,0.016900510204081634
65,0.00526819,0.24601227,0.033686966,16.521044,0.6262755102040817
66,0.008969715,0.9041337,0.12837352,28.129025,0.8539540816326531
67,0.06789046,0.18836075,0.016059997,212.90446,0.9939413265306123
68,3.141923,3.3068695,0.035726596,9853.07,1.0
69,0.05748854,0.39953768,0.03865809,180.28406,0.9534438775510204
70,-0.07904415,0.20265764,0.07282826,-247.88245,0.09151785714285714
71,0.05245673,0.45498824,0.09714333,164.5043,0.8628826530612245
72,-0.059488986,0.72683233,0.24757951,-186.55746,0.5787627551020408
73,0.0920632,0.6464573,0.06465299,288.7102,0.9544005102040817
74,-0.005438884,0.82185066,0.11852631,-17.05634,0.1757015306122449
75,-0.025976434,0.34248772,0.04147963,-81.4621,0.057716836734693876
76,-0.02045853,0.13579634,0.016638484,-64.15795,0.044642857142857144
77,-0.1018102,0.12388646,0.024980228,-319.2768,0.005739795918367347
78,0.0038846591,0.7877321,0.10687088,12.182291,0.701530612244898
79,-0.028531795,0.4651149,0.18100655,-89.47571,0.2152423469387755
80,-0.39242202,-0.07444972,0.045164846,-1230.6355,0.0
81,-0.017373791,0.6202935,0.074738964,-54.484207,0.10267857142857142
82,-0.83909047,0.37816763,0.44312236,-2631.3877,0.002232142857142857
83,-0.04106728,0.06581737,0.026761532,-128.78699,0.10522959183673469
84,0.07251759,0.7505598,0.3061085,227.41516,0.8791454081632653
85,-0.026177047,0.796004,0.11980133,-82.09122,0.09885204081632654
86,0.28007567,0.586776,0.046004873,878.31726,0.9977678571428571
87,-0.24863288,0.3654215,0.104091935,-779.7127,0.016581632653061226
88,-0.0034373633,0.8595856,0.13003623,-10.779572,0.3832908163265306
89,-0.016047,0.50353855,0.06556305,-50.323395,0.15880102040816327
90,-0.030780787,0.109634735,0.020334888,-96.52855,0.017857142857142856
91,-0.029666632,0.41041327,0.059592478,-93.03456,0.08450255102040816
92,3.29978,3.495359,0.056582373,10348.109,1.0
93,0.04394175,0.26277527,0.031157754,137.80133,0.9387755102040817
94,-0.2739209,0.51449263,0.0914398,-859.0159,0.016262755102040817
95,0.024692155,0.69833004,0.21383883,77.4346,0.7694515306122449
96,-0.009052302,0.7747326,0.0951141,-28.38802,0.12531887755102042
